aX,aY,aZ,gX,gY,gZ
1.466,0.615,0.577,75.500,-23.865,86.426
1.489,0.679,0.575,78.125,-20.630,80.872
1.550,0.745,0.592,79.285,-18.494,75.867
1.621,0.825,0.625,78.003,-15.625,73.792
1.753,0.905,0.646,75.806,-10.925,70.190
1.873,0.960,0.652,73.120,-5.554,63.171
1.909,1.000,0.636,70.496,0.610,54.688
1.934,1.029,0.621,70.374,9.766,44.739
1.909,1.024,0.618,67.810,15.686,31.738
1.837,0.994,0.624,65.735,21.729,20.081
1.773,0.959,0.615,64.880,26.794,10.498
1.740,0.938,0.597,63.293,31.616,2.502
1.707,0.924,0.569,59.082,37.720,-2.625
1.654,0.913,0.531,53.162,44.128,-7.629
1.589,0.888,0.504,46.326,49.500,-13.000
1.538,0.867,0.497,39.551,54.199,-16.846
1.474,0.847,0.496,34.790,58.838,-19.836
1.410,0.818,0.494,32.532,62.683,-23.987
1.336,0.782,0.463,32.593,65.369,-30.579
1.258,0.752,0.408,33.203,68.115,-36.438
1.182,0.746,0.341,31.433,71.472,-39.673
1.093,0.719,0.281,27.771,74.951,-42.053
1.006,0.660,0.259,23.193,77.759,-43.762
0.939,0.646,0.217,18.250,79.529,-44.617
0.835,0.604,0.175,14.099,78.613,-47.546
0.771,0.566,0.144,8.667,76.660,-47.729
0.718,0.534,0.135,2.991,74.097,-45.349
0.686,0.501,0.148,-0.122,71.594,-43.152
0.655,0.478,0.164,-1.221,68.542,-42.114
0.620,0.477,0.172,0.061,64.514,-42.786
0.588,0.490,0.153,1.282,59.875,-44.495
0.563,0.498,0.127,0.427,55.847,-45.776
0.524,0.511,0.104,-2.319,52.307,-44.800
0.531,0.516,0.104,-5.737,48.828,-43.396
0.538,0.519,0.097,-8.972,46.509,-43.640
0.498,0.501,0.094,-9.827,44.678,-44.800
0.483,0.522,0.075,-11.414,42.969,-43.457
0.468,0.539,0.069,-15.259,41.077,-40.466
0.433,0.531,0.076,-20.447,38.696,-37.842
0.430,0.505,0.091,-24.780,34.851,-37.048
0.416,0.481,0.099,-25.513,30.029,-37.415
0.364,0.438,0.116,-23.560,23.804,-38.025
0.338,0.426,0.122,-20.447,16.724,-37.903
0.349,0.462,0.110,-19.653,10.986,-36.804
0.356,0.453,0.106,-21.362,7.507,-37.903
0.322,0.444,0.100,-23.010,5.188,-37.903
0.310,0.461,0.080,-25.513,3.174,-34.973
0.313,0.470,0.074,-30.090,0.671,-32.776
0.310,0.449,0.090,-34.851,-2.441,-30.273
0.344,0.425,0.097,-39.795,-4.395,-27.588
0.377,0.398,0.094,-43.030,-5.676,-24.475
0.387,0.397,0.077,-43.945,-5.615,-20.508
0.390,0.415,0.051,-45.166,-5.432,-17.212
0.389,0.401,0.020,-47.363,-6.531,-14.709
0.429,0.340,0.011,-49.683,-9.583,-14.587
0.429,0.284,0.010,-50.903,-13.672,-14.343
0.457,0.259,0.016,-52.429,-17.273,-12.207
0.457,0.219,0.037,-55.054,-20.325,-11.108
0.450,0.167,0.069,-57.373,-23.743,-9.705
0.476,0.146,0.104,-58.105,-27.405,-8.362
0.494,0.158,0.120,-57.190,-30.884,-7.568
0.535,0.146,0.109,-55.969,-34.241,-7.812
0.590,0.089,0.128,-54.321,-38.635,-10.864
0.636,0.046,0.134,-51.636,-42.053,-13.428
0.703,0.039,0.100,-49.011,-42.847,-14.404
0.697,0.050,0.080,-48.767,-42.908,-14.343
0.706,0.052,0.096,-52.429,-43.945,-12.634
0.736,0.047,0.140,-56.091,-47.729,-12.695
0.772,0.054,0.207,-57.556,-52.063,-13.306
0.868,-0.027,0.231,-56.763,-57.495,-19.531
0.912,-0.132,0.281,-52.856,-61.890,-26.672
0.959,-0.167,0.291,-47.913,-64.514,-28.992
1.016,-0.156,0.288,-43.396,-63.843,-30.212
1.009,-0.154,0.319,-43.152,-61.462,-29.175
1.071,-0.177,0.383,-46.448,-58.350,-27.161
1.150,-0.153,0.433,-48.218,-54.993,-26.428
1.151,-0.148,0.455,-48.950,-49.805,-26.672
1.214,-0.254,0.486,-48.340,-43.518,-29.968
1.215,-0.299,0.465,-45.959,-40.222,-29.846
1.226,-0.295,0.431,-40.649,-36.499,-29.663
1.231,-0.279,0.428,-37.720,-34.546,-31.494
1.252,-0.247,0.454,-37.720,-31.189,-29.785
1.268,-0.234,0.495,-38.879,-27.344,-28.259
1.276,-0.238,0.509,-38.757,-23.437,-28.198
1.295,-0.292,0.496,-35.339,-20.081,-30.396
1.301,-0.327,0.448,-30.090,-16.724,-32.532
1.293,-0.318,0.382,-26.550,-12.390,-30.457
1.287,-0.307,0.331,-25.513,-8.301,-26.733
1.284,-0.312,0.322,-26.489,-5.676,-24.475
1.267,-0.317,0.339,-27.039,-4.333,-23.437
1.252,-0.344,0.364,-25.513,-3.967,-24.414
1.243,-0.381,0.373,-22.095,-3.845,-27.100
1.201,-0.414,0.366,-17.639,-3.601,-28.870
1.156,-0.430,0.353,-14.526,-2.319,-26.917
1.130,-0.428,0.352,-12.268,-0.366,-22.217
1.102,-0.406,0.333,-10.803,2.686,-16.235
1.068,-0.365,0.290,-9.766,5.859,-9.583
1.036,-0.339,0.259,-10.254,7.874,-5.737
0.990,-0.328,0.240,-10.681,6.836,-4.517
0.969,-0.340,0.251,-10.071,3.784,-4.333
0.971,-0.317,0.256,-8.057,0.366,-4.150
0.962,-0.302,0.270,-5.798,-1.465,-3.296
0.980,-0.302,0.302,-3.784,0.122,-1.404
0.974,-0.283,0.309,-0.977,2.563,0.916
0.975,-0.240,0.289,2.930,5.981,3.113
0.963,-0.192,0.250,4.578,7.751,3.967
0.961,-0.178,0.226,3.601,8.240,4.211
0.956,-0.174,0.214,2.441,7.996,5.127
0.946,-0.165,0.201,1.770,5.920,5.981
0.938,-0.150,0.194,1.404,2.808,5.798
0.945,-0.122,0.191,1.221,-0.366,5.676
0.943,-0.091,0.191,-0.244,-2.869,5.920
0.960,-0.091,0.223,-2.563,-3.540,6.958
0.965,-0.091,0.258,-3.296,-2.441,9.094
0.980,-0.093,0.289,-2.258,-0.732,10.254
0.990,-0.056,0.279,0.366,1.343,10.681
0.982,-0.032,0.261,1.465,3.479,11.169
0.966,-0.023,0.245,0.549,5.249,11.353
0.953,-0.030,0.240,-0.732,5.249,11.597

1.366,0.611,0.598,68.054,-27.893,95.337
1.387,0.538,0.608,76.050,-28.381,83.252
1.358,0.604,0.557,81.543,-36.926,72.388
1.398,0.644,0.568,87.341,-40.649,66.895
1.483,0.704,0.604,84.473,-44.800,65.002
1.573,0.810,0.635,79.590,-42.725,64.392
1.660,0.850,0.674,74.463,-36.011,60.669
1.740,0.898,0.677,69.824,-27.039,56.763
1.750,0.919,0.658,67.322,-17.090,52.734
1.733,0.929,0.633,66.162,-8.423,47.607
1.725,0.940,0.618,65.002,-1.404,43.518
1.715,1.008,0.585,61.218,4.822,42.664
1.768,1.094,0.570,53.772,12.024,39.856
1.781,1.115,0.555,43.884,18.738,33.875
1.853,1.092,0.618,34.546,26.062,28.992
1.745,1.157,0.527,28.259,26.794,19.287
1.802,1.110,0.565,29.968,36.499,11.902
1.720,1.111,0.538,24.963,41.382,5.432
1.654,1.049,0.527,22.034,47.974,-4.089
1.530,0.988,0.499,18.311,54.626,-10.986
1.445,0.939,0.463,13.855,59.998,-15.991
1.338,0.868,0.430,9.705,63.660,-21.240
1.230,0.799,0.387,5.798,62.927,-27.466
1.164,0.750,0.380,3.418,61.951,-31.982
1.100,0.720,0.384,1.038,62.988,-35.400
1.032,0.682,0.387,-2.686,67.017,-37.598
0.951,0.657,0.371,-6.958,72.205,-37.598
0.880,0.615,0.346,-11.108,76.965,-36.804
0.800,0.591,0.313,-13.855,78.430,-36.560
0.742,0.580,0.285,-15.137,76.660,-36.926
0.690,0.558,0.255,-15.137,73.669,-38.757
0.638,0.550,0.237,-15.137,71.533,-40.405
0.622,0.591,0.196,-16.785,71.045,-40.466
0.584,0.598,0.176,-21.423,70.923,-41.870
0.508,0.570,0.161,-26.672,69.763,-44.250
0.434,0.526,0.168,-29.663,66.956,-44.678
0.374,0.513,0.185,-30.518,62.927,-42.969
0.349,0.500,0.201,-29.663,56.946,-43.274
0.319,0.480,0.182,-27.222,49.988,-46.448
0.294,0.453,0.154,-24.475,43.457,-49.805
0.266,0.459,0.116,-22.949,37.231,-50.415
0.259,0.467,0.082,-22.644,31.372,-51.697
0.223,0.427,0.072,-25.146,26.306,-51.575
0.209,0.406,0.066,-28.992,22.888,-48.340
0.196,0.408,0.058,-32.532,19.165,-45.166
0.175,0.390,0.058,-34.851,14.832,-43.396
0.160,0.358,0.076,-36.743,9.399,-41.870
0.148,0.350,0.087,-37.598,2.502,-39.612
0.197,0.318,0.087,-37.109,-4.272,-39.246
0.229,0.292,0.078,-36.499,-9.827,-39.001
