aX,aY,aZ,gX,gY,gZ
1.831,0.285,0.666,-12.817,-42.114,-2.014
1.913,0.344,0.697,-13.184,-32.654,-4.456
1.998,0.392,0.711,-14.099,-23.499,-11.108
2.078,0.392,0.715,-14.832,-15.320,-21.057
2.138,0.396,0.705,-14.832,-7.690,-31.250
2.172,0.405,0.703,-13.916,-0.854,-41.077
2.189,0.388,0.704,-14.038,5.066,-50.964
2.194,0.394,0.710,-15.869,13.550,-58.777
2.164,0.407,0.714,-18.860,25.146,-65.186
2.127,0.406,0.710,-22.949,39.307,-72.388
2.085,0.385,0.713,-28.137,54.626,-78.247
2.051,0.359,0.718,-34.546,68.115,-82.458
2.000,0.326,0.719,-41.748,78.674,-87.219
1.925,0.270,0.717,-46.875,86.914,-93.262
1.820,0.218,0.704,-48.828,93.506,-99.365
1.700,0.185,0.702,-48.279,97.229,-105.774
1.589,0.153,0.682,-45.227,100.647,-114.075
1.467,0.122,0.656,-40.833,105.103,-121.277
1.335,0.084,0.624,-39.612,112.000,-125.000
1.222,0.058,0.567,-41.443,120.789,-124.451
1.132,0.035,0.497,-44.983,130.493,-121.826
1.040,0.008,0.462,-50.049,140.869,-117.188
0.934,-0.035,0.454,-57.129,147.339,-114.258
0.791,-0.077,0.450,-61.462,147.644,-114.929
0.688,-0.126,0.442,-58.350,145.081,-118.835
0.606,-0.164,0.400,-48.950,142.212,-123.901
0.510,-0.189,0.324,-40.039,140.320,-127.441
0.433,-0.208,0.225,-35.339,140.442,-128.906
0.349,-0.244,0.122,-36.072,141.418,-128.357
0.287,-0.295,0.041,-40.222,143.677,-122.681
0.217,-0.338,-0.015,-47.180,142.639,-113.159
0.184,-0.373,-0.036,-52.612,135.864,-103.638
0.167,-0.408,0.002,-53.101,124.634,-97.168
0.146,-0.463,0.049,-48.767,110.962,-94.666
0.132,-0.508,0.058,-41.382,95.581,-94.788
0.110,-0.543,0.039,-33.081,81.116,-94.849
0.088,-0.574,0.003,-25.330,69.885,-93.140
0.060,-0.574,-0.044,-20.203,62.622,-87.585
0.048,-0.568,-0.085,-19.531,58.228,-78.613
0.080,-0.588,-0.114,-22.949,53.284,-69.702
0.119,-0.598,-0.126,-27.283,47.119,-60.852
0.162,-0.617,-0.108,-27.771,40.955,-53.589
0.198,-0.638,-0.076,-24.780,33.447,-48.096
0.234,-0.638,-0.064,-23.376,26.672,-41.748
0.272,-0.641,-0.051,-23.560,23.804,-33.569
0.304,-0.652,-0.036,-24.109,24.780,-23.437
0.335,-0.654,-0.030,-24.963,26.794,-12.573
0.399,-0.634,-0.059,-22.949,28.442,-4.333
0.462,-0.597,-0.088,-18.311,27.832,0.977
0.522,-0.563,-0.124,-15.015,25.024,4.211
0.567,-0.536,-0.141,-14.893,21.484,6.348
0.599,-0.527,-0.130,-16.296,18.066,8.484
0.620,-0.533,-0.106,-17.334,14.832,10.376
0.660,-0.535,-0.088,-16.602,12.085,11.658
0.704,-0.528,-0.077,-13.550,10.254,11.963
0.743,-0.516,-0.080,-10.437,9.521,11.353
0.776,-0.513,-0.075,-8.484,10.071,11.230
0.803,-0.510,-0.062,-7.385,11.353,11.414
0.816,-0.516,-0.060,-6.104,12.573,10.986
0.823,-0.517,-0.079,-3.967,13.306,10.803
0.831,-0.507,-0.106,-2.197,13.123,10.254
0.851,-0.501,-0.131,-0.854,12.024,9.033
0.864,-0.497,-0.143,0.305,10.742,8.301
0.875,-0.499,-0.154,0.916,8.911,6.592
0.890,-0.504,-0.156,1.587,7.019,5.066
0.892,-0.500,-0.155,3.235,5.798,3.601
0.888,-0.486,-0.166,5.005,4.578,1.831
0.879,-0.478,-0.179,6.409,3.479,-0.427
0.865,-0.477,-0.190,7.019,2.563,-1.892
0.857,-0.479,-0.208,6.958,1.282,-2.686
0.850,-0.485,-0.222,7.080,-0.061,-3.357
0.834,-0.491,-0.227,7.263,-1.404,-3.357
0.823,-0.480,-0.227,6.714,-2.930,-2.869
0.817,-0.483,-0.209,4.333,-3.418,-2.075
0.813,-0.481,-0.183,1.770,-3.662,-0.244
0.836,-0.485,-0.154,0.061,-3.052,1.038
0.856,-0.486,-0.135,0.610,-1.831,1.709
0.862,-0.474,-0.128,2.014,-1.221,2.014
0.860,-0.476,-0.123,3.601,-0.977,1.099
0.853,-0.478,-0.125,4.395,-1.099,0.061
0.849,-0.474,-0.130,5.066,-2.258,-0.488
0.845,-0.468,-0.133,5.249,-3.540,-1.221
0.854,-0.471,-0.138,4.822,-3.906,-1.587
0.849,-0.475,-0.134,3.906,-3.357,-0.854
0.844,-0.477,-0.138,3.296,-2.625,0.000
0.845,-0.474,-0.145,4.089,-2.686,-0.183
0.845,-0.474,-0.148,5.066,-2.502,-0.061
0.851,-0.466,-0.160,4.395,-1.770,0.916
0.862,-0.452,-0.168,3.052,-0.854,2.502
0.872,-0.445,-0.166,1.587,-0.427,3.235
0.878,-0.441,-0.146,0.427,-0.122,3.601
0.886,-0.447,-0.136,0.000,-0.183,2.991
0.891,-0.451,-0.138,0.427,-0.305,1.648
0.884,-0.460,-0.151,1.831,-0.183,0.183
0.872,-0.464,-0.164,2.869,0.000,0.000
0.859,-0.462,-0.174,2.441,-0.122,0.183
0.860,-0.455,-0.179,1.465,-0.427,0.488
0.857,-0.452,-0.167,1.160,-0.793,1.221
0.866,-0.459,-0.154,0.244,-1.282,1.709
0.877,-0.458,-0.144,-0.671,-1.526,1.953
0.888,-0.451,-0.129,-0.244,-1.404,1.770
0.890,-0.455,-0.122,0.244,-0.854,1.038
0.897,-0.450,-0.130,0.366,-0.305,0.427
0.891,-0.440,-0.134,1.587,-0.061,-0.122
0.899,-0.443,-0.135,2.197,-0.061,-1.526
0.892,-0.454,-0.138,2.319,-0.305,-2.808
0.871,-0.465,-0.142,2.258,-0.244,-2.869
0.849,-0.471,-0.154,1.831,-0.061,-2.747
0.839,-0.467,-0.163,1.526,-0.122,-2.258
0.836,-0.460,-0.162,1.648,0.122,-0.977
0.841,-0.465,-0.159,0.122,0.854,0.366
0.848,-0.461,-0.155,-1.404,1.404,1.892
0.856,-0.459,-0.150,-1.343,1.221,2.075
0.867,-0.464,-0.143,0.000,0.610,1.038
0.868,-0.463,-0.143,0.610,-0.061,0.305
0.860,-0.465,-0.150,0.061,-0.122,0.000
0.850,-0.466,-0.158,0.000,-0.366,-0.244
0.846,-0.467,-0.160,0.793,-1.465,-0.793
0.850,-0.475,-0.158,1.221,-2.808,-1.709

1.837,0.310,0.575,-0.061,-35.278,-35.217
1.876,0.352,0.588,5.798,-30.823,-43.579
1.914,0.402,0.594,6.653,-22.156,-49.805
1.928,0.422,0.595,3.723,-11.597,-56.580
1.924,0.415,0.598,-2.014,-0.488,-62.500
1.905,0.400,0.601,-8.240,11.169,-67.017
1.874,0.394,0.574,-12.634,21.423,-71.960
1.843,0.366,0.546,-14.221,28.748,-77.942
1.764,0.356,0.518,-14.832,32.471,-85.327
1.731,0.336,0.490,-15.137,35.767,-91.980
1.668,0.324,0.471,-16.357,40.222,-94.849
1.619,0.305,0.450,-21.240,42.664,-97.107
1.577,0.294,0.459,-26.733,47.424,-97.351
1.539,0.280,0.492,-32.227,53.101,-96.863
1.521,0.254,0.539,-36.865,59.814,-97.900
1.485,0.229,0.550,-39.551,67.139,-99.976
1.450,0.193,0.533,-41.260,75.500,-101.257
1.402,0.160,0.513,-43.152,84.595,-101.074
1.342,0.135,0.476,-45.898,93.323,-100.891
1.271,0.108,0.431,-47.913,100.525,-100.647
